"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 21:28:43 ICT 2024","Thu Jul 11 21:28:52 ICT 2024","8877","Microsoft Edge","filterProduct.spec.js","","","","Testing Filter Using hilo",""
"passed","Thu Jul 11 21:27:04 ICT 2024","Thu Jul 11 21:27:23 ICT 2024","19352","chromium","e2e.spec.js","","","","@WEB Test Transaction Valid with 2 item",""
"passed","Thu Jul 11 21:27:20 ICT 2024","Thu Jul 11 21:27:25 ICT 2024","4594","chromium","login.spec.js","","","","Testing Username Empty",""
"passed","Thu Jul 11 21:28:50 ICT 2024","Thu Jul 11 21:28:57 ICT 2024","6801","Microsoft Edge","login.spec.js","","","","Testing Password Empty",""
"passed","Thu Jul 11 21:28:36 ICT 2024","Thu Jul 11 21:28:51 ICT 2024","15251","Microsoft Edge","e2e.spec.js","","","","@WEB Test Transaction Valid with 4 item",""
"passed","Thu Jul 11 21:27:04 ICT 2024","Thu Jul 11 21:27:20 ICT 2024","16280","chromium","e2e.spec.js","","","","@WEB Test Transaction Valid with 4 item",""
"passed","Thu Jul 11 21:27:56 ICT 2024","Thu Jul 11 21:27:58 ICT 2024","1812","firefox","login.spec.js","","","","Testing Username Empty",""
"passed","Thu Jul 11 21:29:00 ICT 2024","Thu Jul 11 21:29:07 ICT 2024","7007","Google Chrome","filterProduct.spec.js","","","","Testing Filter Using lohi",""
"passed","Thu Jul 11 21:28:48 ICT 2024","Thu Jul 11 21:28:56 ICT 2024","8304","Microsoft Edge","filterProduct.spec.js","","","","Testing Filter Using lohi",""
"passed","Thu Jul 11 21:28:59 ICT 2024","Thu Jul 11 21:29:11 ICT 2024","11763","Google Chrome","e2e.spec.js","","","","@WEB Test Transaction Valid with 3 item",""
"passed","Thu Jul 11 21:27:28 ICT 2024","Thu Jul 11 21:27:53 ICT 2024","24432","firefox","filterProduct.spec.js","","","","Testing Filter Using lohi",""
